StartupName,Industry,Country,FoundedYear,FundingStage,TotalFunding_M,EmployeeCount,Revenue_M,GrowthRate,Valuation_B
Startup_39,Gaming,Israel,2021,Series B,953.77,1497,697.3,81.35,2.76
Startup_40,Gaming,Israel,2020,Series B,287.99,2608,714.15,56.24,2.0
Startup_41,Biotech,UK,2016,Series D,1213.09,3188,716.98,35.21,2.82
Startup_42,ClimateTech,USA,2021,IPO,173.98,1861,183.12,45.58,0.77
Startup_43,AI,India,2011,Series C,1228.84,97,688.72,5.66,2.63
Startup_44,FoodTech,USA,2015,Series D,771.01,4155,334.51,26.1,1.57
Startup_45,PropTech,Singapore,2021,Seed,188.6,1297,270.75,94.58,1.2
Startup_46,Cybersecurity,Canada,2015,Seed,491.57,2564,415.51,71.79,1.68
Startup_47,SaaS,Canada,2022,Series C,551.81,4814,777.45,96.43,2.59
Startup_48,EdTech,Netherlands,2019,Series A,385.16,2297,398.3,33.58,1.35
Startup_49,PropTech,UK,2021,Series A,434.41,3890,30.47,62.91,0.81
Startup_50,E-commerce,Netherlands,2011,Seed,758.99,701,42.13,31.47,1.0
Startup_51,ClimateTech,Netherlands,2013,Seed,1363.32,1502,192.41,18.77,1.84
Startup_52,Logistics,Singapore,2011,IPO,739.28,340,788.53,28.0,2.46
Startup_53,Mobility,USA,2021,Series B,1011.48,426,609.53,27.58,2.37
Startup_54,FoodTech,India,2023,IPO,1095.04,1161,294.86,65.07,2.01
Startup_55,Blockchain,Israel,2020,IPO,953.96,1554,429.08,13.58,1.88
Startup_56,SaaS,Israel,2011,Series B,1254.6,3888,257.3,22.72,1.88
Startup_57,ClimateTech,Israel,2020,IPO,70.75,2463,473.12,69.37,1.36
Startup_58,InsurTech,Israel,2013,IPO,34.72,2759,410.16,26.52,0.99
Startup_59,Mobility,Israel,2013,Seed,971.31,2523,140.32,70.64,1.61
Startup_60,AgriTech,Canada,2021,Seed,586.24,1771,749.45,18.06,2.18
Startup_61,ClimateTech,Netherlands,2018,Seed,518.19,4994,91.67,92.85,1.17
Startup_62,Cybersecurity,Australia,2017,Series C,1317.24,800,207.1,67.7,2.07
Startup_63,Mobility,UK,2013,Seed,1227.66,908,444.61,55.32,2.39
Startup_64,Cybersecurity,France,2010,IPO,370.36,1991,75.39,90.24,0.97
Startup_65,Gaming,India,2010,Series A,1351.62,3486,506.85,37.21,2.55
Startup_66,AI,Netherlands,2011,Seed,530.32,3416,581.04,90.23,2.14
Startup_67,CleanTech,Australia,2018,Series D,1331.76,713,624.12,65.99,2.91
Startup_68,Logistics,India,2010,Series A,135.37,1828,130.14,90.36,0.85
Startup_69,SpaceTech,Israel,2019,Series B,913.58,184,8.35,14.64,1.0
Startup_70,Mobility,UK,2013,Seed,998.62,3103,5.04,20.28,1.11
Startup_71,InsurTech,Netherlands,2012,IPO,827.61,3499,553.82,66.94,2.27
Startup_72,SaaS,Australia,2020,IPO,344.16,4567,570.03,27.54,1.62
Startup_73,Biotech,India,2019,Series C,494.85,2830,597.45,66.72,2.02
Startup_74,Logistics,Netherlands,2013,Series B,1275.34,2854,526.43,58.99,2.62
Startup_75,CleanTech,Australia,2012,Series C,149.58,2330,294.8,30.19,0.89
Startup_76,AI,Australia,2023,Seed,373.54,491,778.44,42.34,2.14
Startup_77,Gaming,India,2018,IPO,1339.15,408,505.28,80.51,2.75
Startup_78,Biotech,India,2021,Series C,758.93,3616,461.95,51.79,1.94
Startup_79,FoodTech,Israel,2021,Series A,300.91,2890,578.24,31.67,1.62
Startup_80,EdTech,USA,2010,Series C,46.23,896,516.73,21.83,1.19
Startup_81,Blockchain,Germany,2023,IPO,1411.28,3173,763.19,91.91,3.4
Startup_82,Cybersecurity,UK,2021,Series B,561.54,1340,13.35,93.19,1.05
Startup_83,AI,Singapore,2022,Series C,647.99,4940,773.36,96.54,2.68
Startup_84,SaaS,Israel,2021,Seed,1280.98,3261,236.26,41.58,1.96
Startup_85,Robotics,USA,2010,Series C,1278.19,1958,254.22,21.1,1.89
Startup_86,Cybersecurity,France,2011,IPO,839.63,3711,748.99,71.12,2.69
Startup_87,Robotics,Israel,2017,Series B,859.39,887,78.64,63.43,1.33
Startup_88,Robotics,USA,2019,IPO,1485.18,2526,112.93,54.24,1.98
Startup_89,Blockchain,India,2020,Series B,1317.29,867,592.87,71.22,2.86
Startup_90,Biotech,Australia,2021,Series D,1056.7,1659,288.23,32.89,1.8
Startup_91,Cybersecurity,Canada,2011,Series D,1215.95,1789,648.28,87.37,2.95
Startup_92,PropTech,India,2022,Series D,1370.73,621,409.56,52.64,2.45
Startup_93,CleanTech,Australia,2016,Series B,1199.46,4597,520.32,71.69,2.6
Startup_94,EdTech,Singapore,2023,Series C,1195.73,1746,712.11,37.11,2.81
Startup_95,Blockchain,Singapore,2022,Series C,569.62,2241,76.09,59.94,1.02
Startup_96,PropTech,Singapore,2020,Series B,63.55,402,373.01,56.55,1.09
Startup_97,Biotech,USA,2019,Series C,436.95,1590,473.08,7.9,1.42
Startup_98,Biotech,India,2021,IPO,65.65,3691,658.26,39.22,1.58
Startup_99,PropTech,Singapore,2014,IPO,199.32,4650,418.27,78.15,1.43
Startup_100,CleanTech,Netherlands,2014,Series A,331.57,4973,498.69,13.11,1.39
Startup_101,PropTech,Germany,2018,Series A,87.01,4808,425.55,56.36,1.22
Startup_102,Blockchain,UK,2019,Seed,959.77,2378,581.15,97.71,2.61
Startup_103,Robotics,Canada,2020,Series C,779.29,1797,259.04,80.54,1.7
Startup_104,Fintech,France,2012,Series D,413.54,1850,351.74,12.45,1.18
Startup_105,Blockchain,France,2019,Series B,47.77,2822,770.16,84.42,2.01
Startup_106,FoodTech,India,2013,Series D,1047.0,3726,327.75,21.46,1.81
Startup_107,CleanTech,UK,2020,IPO,243.09,243,200.94,57.18,0.93
Startup_108,FoodTech,Singapore,2013,IPO,1074.75,551,528.5,31.59,2.29
Startup_109,ClimateTech,Australia,2023,Seed,1432.75,3407,590.58,57.66,2.9
Startup_110,Logistics,USA,2016,IPO,921.46,2657,336.26,28.53,1.74
Startup_111,SaaS,Germany,2019,Seed,540.4,3038,606.52,6.37,1.79
Startup_112,SpaceTech,India,2020,IPO,182.95,3482,37.76,8.87,0.3
Startup_113,Mobility,Singapore,2014,Seed,1284.64,2721,563.22,50.05,2.66
Startup_114,EdTech,Singapore,2015,Series B,155.77,3825,393.8,49.98,1.19
Startup_115,Cybersecurity,Canada,2010,Series D,268.07,2834,347.65,42.86,1.18
Startup_116,CleanTech,India,2013,IPO,927.62,3549,508.44,9.3,1.99
Startup_117,Biotech,Canada,2012,Series C,568.17,2275,501.06,52.8,1.83
Startup_118,AI,Netherlands,2010,Series A,1286.17,4995,527.3,20.48,2.44
Startup_119,ClimateTech,USA,2012,Series D,115.15,4265,514.29,7.52,1.18
Startup_120,E-commerce,Israel,2017,Series D,882.81,990,752.24,59.67,2.69
Startup_121,FoodTech,Singapore,2012,Seed,588.37,3173,514.99,48.53,1.86
Startup_122,HealthTech,India,2017,IPO,822.97,4965,753.23,41.68,2.54
Startup_123,Blockchain,USA,2015,Series B,1442.17,2997,724.38,23.6,3.01
Startup_124,Blockchain,Israel,2016,IPO,113.35,3742,81.52,6.73,0.31
Startup_125,SaaS,Germany,2013,IPO,150.72,4644,546.72,11.76,1.3
Startup_126,FoodTech,Israel,2011,Series D,485.27,3139,676.06,7.21,1.87
Startup_127,AgriTech,UK,2023,Series B,1223.56,661,226.2,16.23,1.76
Startup_128,Biotech,Canada,2021,Series C,1048.14,4238,503.53,88.36,2.5
Startup_129,ClimateTech,Canada,2017,Series A,1105.26,1787,642.98,31.79,2.55
Startup_130,EdTech,UK,2016,Series A,274.38,4386,600.74,81.65,1.88
Startup_131,SpaceTech,Canada,2016,IPO,1485.85,3749,330.68,40.34,2.35
Startup_132,Logistics,Singapore,2017,Seed,1166.86,4880,273.3,93.42,2.18
Startup_133,ClimateTech,Israel,2010,Seed,1289.04,2805,343.77,76.33,2.36
Startup_134,ClimateTech,USA,2011,Series A,1134.27,2475,83.4,90.74,1.75
Startup_135,Fintech,Germany,2021,IPO,762.83,3274,661.34,35.4,2.26
Startup_136,Cybersecurity,India,2011,Series C,1344.33,946,311.97,6.03,2.0
Startup_137,ClimateTech,Singapore,2021,IPO,1359.02,347,73.94,35.33,1.68
Startup_138,CleanTech,UK,2019,Series B,1425.59,298,760.54,59.48,3.24
Startup_139,E-commerce,France,2013,Series C,951.44,2918,359.31,32.86,1.83
Startup_140,InsurTech,UK,2022,IPO,499.71,1972,538.34,76.48,1.96
Startup_141,Fintech,Canada,2015,Series A,1189.45,495,631.9,13.66,2.52
Startup_142,CleanTech,France,2013,Series B,746.69,2620,46.99,57.21,1.13
Startup_143,SpaceTech,Germany,2022,Seed,667.88,1693,710.28,38.34,2.28
Startup_144,Fintech,Germany,2012,IPO,184.43,2163,115.25,77.34,0.8
Startup_145,Robotics,UK,2017,Seed,931.14,1612,81.8,12.99,1.16
Startup_146,SpaceTech,Netherlands,2016,Series B,1054.44,3123,59.14,83.08,1.59
Startup_147,ClimateTech,France,2017,Series B,1062.3,1339,66.0,13.06,1.26
Startup_148,Logistics,India,2023,Series D,1480.09,4779,300.04,40.21,2.28
Startup_149,HealthTech,Germany,2021,Series B,1221.07,486,757.85,98.67,3.23
Startup_150,SpaceTech,Germany,2022,Series C,1132.53,605,301.63,12.93,1.8
Startup_151,EdTech,Israel,2016,IPO,1167.95,2114,447.16,45.3,2.29
Startup_152,AgriTech,Netherlands,2012,Series A,1360.47,1776,89.85,51.8,1.8
Startup_153,Cybersecurity,Canada,2013,Series A,26.92,2612,375.46,10.35,0.83
Startup_154,SpaceTech,USA,2011,Series C,187.04,2917,94.9,66.67,0.71
Startup_155,SaaS,Germany,2014,Seed,1121.61,3300,467.11,96.41,2.54
Startup_156,EdTech,Australia,2017,Series B,568.56,4032,229.28,87.52,1.46
Startup_157,SaaS,Netherlands,2012,IPO,343.16,4405,770.61,6.15,1.92
Startup_158,Gaming,USA,2012,IPO,1455.12,647,35.48,89.66,1.97
Startup_159,Gaming,Netherlands,2017,Series B,796.27,2675,794.38,12.01,2.45
Startup_160,ClimateTech,Israel,2023,Seed,835.24,117,775.47,54.69,2.66
Startup_161,Blockchain,Canada,2022,IPO,947.8,4398,556.9,48.18,2.3
Startup_162,SpaceTech,Netherlands,2015,Series C,945.06,3812,467.87,90.61,2.33
Startup_163,Cybersecurity,Germany,2013,Series A,77.72,1453,225.49,95.29,1.01
Startup_164,Cybersecurity,Israel,2019,Series B,1336.49,1222,365.07,63.91,2.39
Startup_165,InsurTech,Israel,2014,Series B,423.3,135,151.31,49.05,0.97
Startup_166,InsurTech,Germany,2010,Seed,536.49,3002,467.34,12.38,1.53
Startup_167,E-commerce,Canada,2017,Series B,1461.85,2005,788.98,71.33,3.4
Startup_168,PropTech,Netherlands,2014,Series C,808.78,82,248.31,82.31,1.72
Startup_169,ClimateTech,Netherlands,2015,Series C,1030.25,4419,130.93,91.54,1.75
Startup_170,Fintech,UK,2019,Series A,1235.58,3786,759.89,73.94,3.13
Startup_171,Fintech,Israel,2013,Series C,923.99,4538,335.18,93.61,2.06
Startup_172,Logistics,India,2012,Series D,1300.44,3716,37.13,7.5,1.41
Startup_173,CleanTech,Australia,2020,Series D,570.93,3630,648.63,98.79,2.36
Startup_174,Gaming,Singapore,2021,Seed,234.12,3007,475.71,41.18,1.39
Startup_175,Robotics,Singapore,2020,Series C,1455.17,1437,673.85,84.64,3.23
Startup_176,Cybersecurity,UK,2016,Series C,708.35,2812,332.44,30.97,1.53
Startup_177,Blockchain,UK,2018,IPO,94.0,308,691.91,82.23,1.89
Startup_178,Biotech,Singapore,2013,Series D,1499.58,825,797.31,57.77,3.38
Startup_179,HealthTech,India,2013,Seed,1155.79,3025,755.87,85.72,3.1
Startup_180,Biotech,Netherlands,2015,IPO,378.55,3652,360.98,17.27,1.19
Startup_181,Biotech,Netherlands,2020,Series C,1431.54,4162,485.33,26.72,2.54
Startup_182,Logistics,Singapore,2018,Series A,1010.83,4637,494.88,39.03,2.2
Startup_183,Biotech,Canada,2020,Series C,179.2,4999,537.59,54.43,1.53
Startup_184,AgriTech,Israel,2012,Series C,1160.75,65,416.61,85.96,2.42
Startup_185,Gaming,USA,2014,Series A,832.34,1529,449.19,88.28,2.17
Startup_186,E-commerce,France,2010,Series D,611.19,267,108.08,7.73,0.87
Startup_187,FoodTech,France,2014,IPO,1135.15,977,496.63,71.89,2.49
Startup_188,AgriTech,India,2023,Series A,327.32,3471,109.96,6.38,0.58
Startup_189,Biotech,USA,2019,Seed,532.38,462,472.34,42.26,1.69
Startup_190,ClimateTech,Canada,2013,Series B,661.84,4432,723.42,38.08,2.3
Startup_191,Blockchain,USA,2010,Series A,775.84,2496,627.14,42.67,2.24
Startup_192,Biotech,India,2016,Series A,936.91,3780,690.03,95.2,2.79
Startup_193,Blockchain,Singapore,2012,Series B,229.14,321,741.34,51.75,1.97
Startup_194,Logistics,Singapore,2011,Seed,394.78,1311,367.85,98.1,1.62
Startup_195,FoodTech,Canada,2015,IPO,744.0,3082,263.67,65.17,1.6
Startup_196,FoodTech,UK,2010,Series C,367.82,2705,61.61,17.24,0.58
Startup_197,HealthTech,USA,2010,IPO,200.79,1407,122.37,18.19,0.54
Startup_198,Biotech,Germany,2018,Series D,964.9,941,146.32,37.84,1.45
Startup_199,SpaceTech,Netherlands,2013,Series A,1346.21,3395,379.7,68.42,2.45
Startup_200,Fintech,Germany,2023,IPO,266.76,1075,154.64,8.88,0.62
Startup_201,AgriTech,Israel,2014,Series D,261.71,2188,223.59,21.82,0.82
Startup_202,Logistics,Israel,2017,Series A,142.17,2141,97.39,48.77,0.58
Startup_203,ClimateTech,Australia,2018,Series D,317.44,3303,292.05,52.82,1.17
Startup_204,SaaS,Canada,2017,Seed,1038.69,1746,32.41,80.94,1.51
Startup_205,ClimateTech,India,2016,Series B,945.57,3210,66.33,87.99,1.52
Startup_206,EdTech,Australia,2013,IPO,1382.1,63,49.8,31.3,1.64
Startup_207,Robotics,Germany,2015,Series C,1211.24,63,598.86,22.53,2.52
Startup_208,PropTech,USA,2023,IPO,321.93,411,297.01,51.03,1.17
Startup_209,HealthTech,India,2023,Seed,931.2,4257,295.76,48.94,1.77
Startup_210,AI,UK,2016,IPO,1123.73,1484,30.31,28.98,1.33
Startup_211,AI,USA,2019,Series C,1072.89,2768,716.27,53.61,2.77
Startup_212,AI,Australia,2022,Series C,802.85,4267,86.63,47.5,1.21
Startup_213,AI,Germany,2010,IPO,803.6,1347,194.73,30.58,1.35
Startup_214,CleanTech,Netherlands,2017,Seed,572.15,2049,17.04,35.6,0.78
Startup_215,SaaS,Israel,2012,Series C,325.06,3792,262.67,16.38,0.93
Startup_216,Robotics,Germany,2022,Seed,1336.89,3479,475.28,69.51,2.64
Startup_217,EdTech,France,2018,Series A,1185.87,1203,399.26,13.26,2.05
Startup_218,CleanTech,Netherlands,2023,Series A,810.29,1314,469.89,75.82,2.13
Startup_219,Fintech,Germany,2013,Series C,653.17,3241,102.94,31.96,1.02
Startup_220,EdTech,USA,2020,Seed,550.99,1637,517.09,59.22,1.88
Startup_221,InsurTech,Australia,2012,Series D,540.58,3965,789.23,62.55,2.43
Startup_222,CleanTech,Israel,2014,Series A,363.47,3300,82.32,19.52,0.63
Startup_223,ClimateTech,India,2020,Series C,376.48,2344,129.38,22.72,0.75
Startup_224,Gaming,India,2019,IPO,434.79,2183,139.53,90.19,1.16
Startup_225,PropTech,Netherlands,2022,Series A,129.55,2940,420.08,43.99,1.19
Startup_226,SpaceTech,Singapore,2019,IPO,1473.74,423,90.52,42.8,1.87
Startup_227,ClimateTech,France,2011,Series A,1454.51,53,692.54,82.62,3.25
Startup_228,Cybersecurity,France,2021,Seed,394.28,754,137.54,68.52,1.01
Startup_229,Gaming,Australia,2021,Series B,1394.77,659,445.85,59.3,2.58
Startup_230,SaaS,Germany,2011,Series D,427.17,3320,615.82,22.77,1.77
Startup_231,Fintech,India,2014,Series A,492.28,3853,340.92,53.22,1.44
Startup_232,Fintech,Netherlands,2019,Series B,371.19,3720,92.75,63.01,0.87
Startup_233,AgriTech,Australia,2022,Series A,440.06,53,465.41,19.66,1.47
Startup_234,Mobility,Germany,2015,Series D,726.9,4402,426.54,9.92,1.63
Startup_235,Fintech,Netherlands,2011,Series C,511.54,1406,108.4,11.02,0.78
Startup_236,InsurTech,India,2022,Seed,1485.04,3867,258.56,81.94,2.41
Startup_237,Biotech,India,2011,Series C,389.41,3481,545.52,77.22,1.87
Startup_238,PropTech,Netherlands,2016,Series B,897.5,2679,377.79,44.12,1.87
Startup_239,Fintech,USA,2015,IPO,529.81,821,743.69,83.91,2.44
Startup_240,AI,Australia,2011,Seed,1447.89,4057,100.31,74.43,2.02
Startup_241,SpaceTech,USA,2013,Series B,1408.13,1693,145.81,11.32,1.76
Startup_242,EdTech,France,2021,Series A,1114.27,1256,460.0,84.97,2.46
Startup_243,Mobility,Canada,2021,Series B,218.26,3327,636.42,24.15,1.61
Startup_244,PropTech,UK,2023,Series D,253.85,4025,132.25,82.38,0.93
Startup_245,Mobility,India,2020,Series D,1001.14,3090,418.93,39.09,2.03
Startup_246,SpaceTech,Netherlands,2021,Seed,1317.03,3594,314.56,82.58,2.36
Startup_247,Gaming,Israel,2021,Seed,664.31,2457,302.18,48.95,1.51
Startup_248,Fintech,Israel,2020,Seed,459.05,4854,598.34,52.76,1.92
Startup_249,FoodTech,Canada,2021,Seed,356.0,3437,719.76,41.47,2.0
Startup_250,Blockchain,Netherlands,2018,Series D,819.89,4628,725.27,64.3,2.59
Startup_251,Cybersecurity,India,2011,IPO,184.18,2358,751.93,64.63,2.01
Startup_252,Cybersecurity,UK,2023,Series B,509.01,2211,112.28,80.43,1.14
Startup_253,SpaceTech,Israel,2013,Series C,933.91,406,427.24,89.92,2.24
Startup_254,FoodTech,Germany,2021,Series D,1185.01,1206,122.19,34.61,1.6
Startup_255,ClimateTech,India,2023,Series D,380.25,1214,595.41,8.19,1.61
Startup_256,E-commerce,Germany,2011,IPO,859.14,4828,610.2,88.29,2.52
Startup_257,ClimateTech,France,2017,IPO,519.7,1398,657.18,15.51,1.91
Startup_258,HealthTech,France,2017,Series C,1271.21,2114,102.86,42.74,1.69
Startup_259,E-commerce,Australia,2012,Series A,1197.97,4368,120.78,26.78,1.57
Startup_260,ClimateTech,Singapore,2011,Seed,1086.16,2172,576.31,65.91,2.57
Startup_261,AI,Canada,2022,IPO,1043.98,653,434.64,28.92,2.06
Startup_262,CleanTech,Netherlands,2021,Seed,525.09,302,146.1,91.3,1.27
Startup_263,E-commerce,Canada,2011,Series B,879.25,4121,321.28,48.89,1.77
Startup_264,Logistics,Canada,2014,Series A,1421.45,1647,123.53,60.69,1.97
Startup_265,SaaS,Netherlands,2019,IPO,763.77,155,489.55,6.72,1.78
Startup_266,PropTech,Netherlands,2011,IPO,1309.46,1600,745.76,58.69,3.09
Startup_267,FoodTech,Australia,2013,Series C,1048.01,4909,738.08,72.19,2.89
Startup_268,ClimateTech,UK,2017,Series B,237.28,2754,461.45,62.64,1.47
Startup_269,SpaceTech,Israel,2017,Series C,641.95,421,589.42,93.76,2.29
Startup_270,Blockchain,USA,2015,Series D,1389.1,4214,361.22,15.76,2.19
Startup_271,SpaceTech,Australia,2017,Series D,1477.41,4700,671.28,16.84,2.9
Startup_272,Mobility,Canada,2019,Series A,1382.05,3513,696.05,54.29,3.05
Startup_273,Gaming,UK,2022,Series B,891.0,1936,319.8,10.2,1.58
Startup_274,EdTech,UK,2014,Series A,509.44,901,642.48,5.44,1.82
Startup_275,AgriTech,Netherlands,2018,Series A,506.91,4915,319.14,56.05,1.43
Startup_276,SaaS,India,2018,Series D,1380.58,3220,277.73,37.96,2.13
Startup_277,Blockchain,USA,2020,Seed,1108.88,4282,362.32,26.34,1.97
Startup_278,CleanTech,Netherlands,2011,Series B,684.13,303,113.54,21.76,1.02
Startup_279,Logistics,UK,2010,Series C,752.57,1443,335.72,91.91,1.88
Startup_280,AI,India,2014,Series B,549.97,3107,464.89,65.07,1.81
Startup_281,Mobility,India,2019,Seed,29.51,2795,531.17,21.91,1.2
Startup_282,Cybersecurity,Canada,2020,Series D,1441.99,819,119.78,44.39,1.9
Startup_283,Robotics,India,2014,Series B,137.17,3513,797.5,52.71,2.0
Startup_284,AgriTech,Netherlands,2013,Series B,897.12,1099,54.59,76.25,1.39
Startup_285,Robotics,Israel,2022,Series B,322.76,650,718.55,24.49,1.88
Startup_286,E-commerce,Singapore,2010,Series A,294.12,1168,30.2,49.85,0.6
Startup_287,Robotics,UK,2023,Series B,851.61,1132,53.5,78.68,1.35
Startup_288,FoodTech,Australia,2022,Seed,685.4,2797,419.99,46.87,1.76
Startup_289,Fintech,Israel,2018,Seed,607.14,66,448.15,19.75,1.6
Startup_290,Gaming,Australia,2016,Series B,281.07,3654,689.57,94.88,2.13
Startup_291,SpaceTech,Netherlands,2017,Series D,566.23,101,217.32,66.18,1.33
Startup_292,Logistics,Israel,2023,Series D,619.01,1254,21.28,19.83,0.76
Startup_293,CleanTech,Canada,2016,IPO,1076.8,2936,527.48,7.57,2.17
Startup_294,PropTech,Netherlands,2011,Series C,340.74,1255,185.63,68.83,1.06
Startup_295,SpaceTech,Canada,2020,Seed,39.37,1929,84.18,80.99,0.61
Startup_296,HealthTech,Germany,2015,Series B,276.03,4361,522.54,27.63,1.46
Startup_297,Mobility,India,2011,Series C,158.17,2862,195.29,73.62,0.92
Startup_298,Blockchain,France,2020,Series A,1284.99,4523,664.35,42.73,2.83
Startup_299,Cybersecurity,France,2022,IPO,1005.45,1773,164.78,32.85,1.5
Startup_300,Cybersecurity,Australia,2015,Seed,1345.54,2407,11.39,13.12,1.43
Startup_301,Blockchain,Israel,2012,Seed,319.75,2396,22.2,22.24,0.48
Startup_302,ClimateTech,Singapore,2011,Series B,878.73,3426,337.72,89.8,2.0
Startup_303,AgriTech,Israel,2014,IPO,1227.99,4975,274.11,29.65,1.92
Startup_304,Blockchain,France,2018,Series D,575.74,1776,472.65,30.47,1.67
Startup_305,HealthTech,Israel,2023,Seed,939.98,4587,328.12,57.44,1.88
Startup_306,HealthTech,Israel,2022,Seed,659.83,2272,236.28,95.1,1.61
Startup_307,E-commerce,Singapore,2017,Seed,1147.77,921,112.95,87.5,1.81
Startup_308,Biotech,Germany,2017,Series A,736.27,2680,715.75,80.99,2.57
Startup_309,HealthTech,UK,2014,Series B,643.57,1771,18.95,30.52,0.83
Startup_310,CleanTech,India,2019,Series C,817.03,2024,507.15,29.5,1.98
Startup_311,Robotics,Netherlands,2017,Series D,217.64,2481,668.11,98.52,2.05
Startup_312,Robotics,Canada,2020,Series C,793.28,802,138.17,30.87,1.22
Startup_313,Logistics,France,2015,Series A,37.4,51,731.52,16.19,1.58
Startup_314,Robotics,UK,2021,Series B,869.01,4975,219.97,57.65,1.6
Startup_315,Mobility,Germany,2022,Series C,980.62,1254,663.96,24.61,2.43
Startup_316,Mobility,India,2018,Series D,26.38,539,110.37,90.5,0.7
Startup_317,Cybersecurity,Germany,2014,Seed,1312.1,4897,478.33,62.05,2.58
Startup_318,InsurTech,Netherlands,2011,Series B,1000.9,4844,141.12,91.87,1.74
Startup_319,Gaming,Australia,2021,Series A,633.97,4210,307.13,54.3,1.52
Startup_320,Biotech,Australia,2010,IPO,79.98,105,133.86,75.11,0.72
Startup_321,SaaS,India,2010,Series C,133.37,588,482.92,28.31,1.24
Startup_322,Blockchain,Netherlands,2013,Series B,590.05,2756,231.67,38.79,1.25
Startup_323,Blockchain,UK,2022,IPO,1081.38,1970,238.4,58.81,1.85
Startup_324,Cybersecurity,Israel,2018,Series C,719.32,4651,531.27,94.0,2.25
Startup_325,InsurTech,USA,2021,IPO,1101.53,3744,172.74,7.96,1.49
Startup_326,Gaming,France,2018,Series D,400.77,4609,476.47,9.89,1.4
Startup_327,HealthTech,Canada,2020,Series C,749.59,2050,477.88,36.75,1.89
Startup_328,ClimateTech,UK,2020,Seed,1158.66,3932,86.17,12.14,1.39
Startup_329,FoodTech,Netherlands,2021,Series A,1095.0,1964,396.9,70.4,2.24
Startup_330,Biotech,USA,2015,IPO,657.89,4169,197.88,82.81,1.47
Startup_331,Gaming,Netherlands,2022,IPO,1201.13,1142,556.06,30.85,2.47
Startup_332,Mobility,USA,2014,IPO,889.44,1237,289.42,13.7,1.54
Startup_333,CleanTech,Germany,2011,Series A,1376.8,3235,110.32,95.27,2.07
